['k_value', 'p_value', 'paa_value', 'max_level', 'ncp']
[6, 5, 3, 5, 177.84726832894543]
[6, 5, 3, 6, 180.68782820468167]
[6, 5, 3, 7, 223.92606950773538]
[6, 5, 3, 8, 227.48956561027552]
[6, 5, 3, 9, 249.9966717563849]
[6, 5, 3, 10, 249.56585494804315]
[6, 5, 4, 5, 251.17500080303296]
[6, 5, 4, 6, 244.84982664644866]
[6, 5, 4, 7, 246.82120756864086]
[6, 5, 4, 8, 244.38107661966853]
[6, 5, 4, 9, 244.4945795637503]
[6, 5, 4, 10, 244.65142511199136]
[6, 5, 5, 5, 221.1484006809608]
[6, 5, 5, 6, 216.01695335009273]
[6, 5, 5, 7, 218.62004821183837]
[6, 5, 5, 8, 216.64906674939996]
[6, 5, 5, 9, 217.79866137924955]
[6, 5, 5, 10, 213.47685160392172]
[7, 5, 3, 5, 189.39923904672472]
[7, 5, 3, 6, 190.73347653338573]
[7, 5, 3, 7, 228.34112226624987]
[7, 5, 3, 8, 239.10365211169287]
[7, 5, 3, 9, 265.45844692755065]
[7, 5, 3, 10, 261.60455332237564]
[7, 5, 4, 5, 249.12202263089645]
[7, 5, 4, 6, 253.45563038013645]
[7, 5, 4, 7, 255.02663626851262]
[7, 5, 4, 8, 254.03912759704738]
[7, 5, 4, 9, 254.45098285331687]
[7, 5, 4, 10, 255.2816481704423]
[7, 5, 5, 5, 221.74006024965226]
[7, 5, 5, 6, 220.6389098345078]
[7, 5, 5, 7, 221.21293563418598]
[7, 5, 5, 8, 222.39655641065426]
[7, 5, 5, 9, 224.2364149344143]
[7, 5, 5, 10, 224.29550020872037]
[8, 5, 3, 5, 193.40571325413646]
[8, 5, 3, 6, 195.92264664872343]
[8, 5, 3, 7, 230.96646121683892]
[8, 5, 3, 8, 248.02727164189957]
[8, 5, 3, 9, 264.696732080238]
[8, 5, 3, 10, 273.3482900948788]
[8, 5, 4, 5, 260.62514756425134]
[8, 5, 4, 6, 260.18088457551323]
[8, 5, 4, 7, 263.3335981395917]
[8, 5, 4, 8, 257.5685925587322]
[8, 5, 4, 9, 261.4639457519655]
[8, 5, 4, 10, 263.13675711354415]
[8, 5, 5, 5, 227.16276722712274]
[8, 5, 5, 6, 231.682880555356]
[8, 5, 5, 7, 228.04405532650838]
[8, 5, 5, 8, 229.89228630862831]
[8, 5, 5, 9, 227.55229908658654]
[8, 5, 5, 10, 226.48636354593816]
[9, 5, 3, 5, 206.18900066861676]
[9, 5, 3, 6, 193.71295073575507]
[9, 5, 3, 7, 238.93706392026823]
[9, 5, 3, 8, 245.92834301205943]
[9, 5, 3, 9, 269.8144258248393]
[9, 5, 3, 10, 280.1409789497118]
[9, 5, 4, 5, 263.55442696226777]
[9, 5, 4, 6, 259.6896134194111]
[9, 5, 4, 7, 264.354172571886]
[9, 5, 4, 8, 261.7846149430959]
[9, 5, 4, 9, 260.64213058522336]
[9, 5, 4, 10, 260.54879053266734]
[9, 5, 5, 5, 235.9091636843946]
[9, 5, 5, 6, 236.5909264912104]
[9, 5, 5, 7, 232.27883088811632]
[9, 5, 5, 8, 235.34659989687296]
[9, 5, 5, 9, 237.3227061560234]
[9, 5, 5, 10, 239.2557598277667]
[10, 5, 3, 5, 207.07541197238274]
[10, 5, 3, 6, 202.38901781705968]
[10, 5, 3, 7, 242.48834226852088]
[10, 5, 3, 8, 248.61665812809093]
[10, 5, 3, 9, 275.0483325192991]
[10, 5, 3, 10, 273.34325671678704]
[10, 5, 4, 5, 270.31602170487923]
[10, 5, 4, 6, 269.1025421015899]
[10, 5, 4, 7, 271.33988292747966]
[10, 5, 4, 8, 267.0962557950824]
[10, 5, 4, 9, 270.7773285134982]
[10, 5, 4, 10, 266.11734598525913]
[10, 5, 5, 5, 240.80821073922021]
[10, 5, 5, 6, 239.61851918636154]
[10, 5, 5, 7, 241.78994084223373]
[10, 5, 5, 8, 236.44641256250412]
[10, 5, 5, 9, 242.1691690033351]
[10, 5, 5, 10, 237.74551594975384]
[11, 5, 3, 5, 199.92859853236885]
[11, 5, 3, 6, 215.1642586424197]
[11, 5, 3, 7, 253.63511270080855]
[11, 5, 3, 8, 258.97357606164394]
[11, 5, 3, 9, 287.5171300417895]
[11, 5, 3, 10, 283.5726490870124]
[11, 5, 4, 5, 275.3254314852546]
[11, 5, 4, 6, 272.7411034840359]
[11, 5, 4, 7, 270.5439056284329]
[11, 5, 4, 8, 271.28631644266284]
[11, 5, 4, 9, 277.6648765696877]
[11, 5, 4, 10, 272.94668498463386]
[11, 5, 5, 5, 245.18613087909625]
[11, 5, 5, 6, 240.3129070787125]
[11, 5, 5, 7, 244.5691326861876]
[11, 5, 5, 8, 244.83023006313945]
[11, 5, 5, 9, 246.59755669363147]
[11, 5, 5, 10, 248.78754895166736]
[7, 6, 3, 5, 198.7478948879219]
[7, 6, 3, 6, 192.30321981238382]
[7, 6, 3, 7, 230.17614351597973]
[7, 6, 3, 8, 245.23090340976097]
[7, 6, 3, 9, 268.7428074261799]
[7, 6, 3, 10, 267.91180730450935]
[7, 6, 4, 5, 257.63923307599714]
[7, 6, 4, 6, 259.3913903567087]
[7, 6, 4, 7, 260.87579474069713]
[7, 6, 4, 8, 259.4890025754755]
[7, 6, 4, 9, 257.9600554621114]
[7, 6, 4, 10, 257.47478799809835]
[7, 6, 5, 5, 235.06781413959044]
[7, 6, 5, 6, 238.8425257658017]
[7, 6, 5, 7, 236.50786237211636]
[7, 6, 5, 8, 234.94694661266698]
[7, 6, 5, 9, 243.1380340399578]
[7, 6, 5, 10, 237.09092523005043]
[8, 6, 3, 5, 199.38446756342256]
[8, 6, 3, 6, 201.75890518157374]
[8, 6, 3, 7, 240.303163611456]
[8, 6, 3, 8, 256.55832732655375]
[8, 6, 3, 9, 275.2094235295163]
[8, 6, 3, 10, 274.6499512116777]
[8, 6, 4, 5, 267.1339672514113]
[8, 6, 4, 6, 270.85695019364624]
[8, 6, 4, 7, 266.13505667667823]
[8, 6, 4, 8, 265.7267409509843]
[8, 6, 4, 9, 270.1209231023562]
[8, 6, 4, 10, 270.23584361647187]
[8, 6, 5, 5, 244.97035588103336]
[8, 6, 5, 6, 247.19432238829984]
[8, 6, 5, 7, 247.37147446592098]
[8, 6, 5, 8, 241.05212266404303]
[8, 6, 5, 9, 248.88518367067658]
[8, 6, 5, 10, 243.24121803094155]
[9, 6, 3, 5, 206.60945611888113]
[9, 6, 3, 6, 210.28456979545706]
[9, 6, 3, 7, 243.1921060862734]
[9, 6, 3, 8, 259.19553279148045]
[9, 6, 3, 9, 277.0731471416704]
[9, 6, 3, 10, 279.4061796178484]
[9, 6, 4, 5, 272.23991236372467]
[9, 6, 4, 6, 269.85786609426617]
[9, 6, 4, 7, 269.9906746612276]
[9, 6, 4, 8, 266.84350119421936]
[9, 6, 4, 9, 270.88365844974146]
[9, 6, 4, 10, 268.49019922675006]
[9, 6, 5, 5, 246.30217864769259]
[9, 6, 5, 6, 252.68886648747008]
[9, 6, 5, 7, 245.12443848764016]
[9, 6, 5, 8, 253.0820141100761]
[9, 6, 5, 9, 248.2701606573395]
[9, 6, 5, 10, 254.27904813072357]
[10, 6, 3, 5, 218.8075378260433]
[10, 6, 3, 6, 213.9467499998352]
[10, 6, 3, 7, 246.24595330188504]
[10, 6, 3, 8, 266.25456623444154]
[10, 6, 3, 9, 289.97977510086946]
[10, 6, 3, 10, 282.6184492275148]
[10, 6, 4, 5, 274.3431214668701]
[10, 6, 4, 6, 273.25566117835666]
[10, 6, 4, 7, 272.79368722427614]
[10, 6, 4, 8, 271.9112007474672]
[10, 6, 4, 9, 274.0960530240841]
[10, 6, 4, 10, 274.5426789757608]
[10, 6, 5, 5, 254.00503578495392]
[10, 6, 5, 6, 257.1479115551348]
[10, 6, 5, 7, 256.1553241652836]
[10, 6, 5, 8, 257.2283783983528]
[10, 6, 5, 9, 257.63523856805807]
[10, 6, 5, 10, 256.5989476224406]
[11, 6, 3, 5, 232.80404321616197]
[11, 6, 3, 6, 211.19269451032258]
[11, 6, 3, 7, 246.1160515621897]
[11, 6, 3, 8, 268.17505199085224]
[11, 6, 3, 9, 286.73182241062904]
[11, 6, 3, 10, 285.9780989142933]
[11, 6, 4, 5, 278.35319191523405]
[11, 6, 4, 6, 278.1257492220823]
[11, 6, 4, 7, 283.4685999041722]
[11, 6, 4, 8, 283.6840607687462]
[11, 6, 4, 9, 282.82926231694876]
[11, 6, 4, 10, 284.3928727339241]
[11, 6, 5, 5, 263.9980954911456]
[11, 6, 5, 6, 259.56639951609327]
[11, 6, 5, 7, 260.3667231270316]
[11, 6, 5, 8, 259.77118427849484]
[11, 6, 5, 9, 259.9894031651115]
[11, 6, 5, 10, 259.90363100919296]
[12, 6, 3, 5, 221.21075466738205]
[12, 6, 3, 6, 223.83347117489603]
[12, 6, 3, 7, 254.0691561874913]
[12, 6, 3, 8, 272.36361457312444]
[12, 6, 3, 9, 296.07534197814107]
[12, 6, 3, 10, 294.7443348090184]
[12, 6, 4, 5, 284.96102507286275]
[12, 6, 4, 6, 282.146826650389]
[12, 6, 4, 7, 286.0813587477257]
[12, 6, 4, 8, 281.7026469114744]
[12, 6, 4, 9, 283.8748008294505]
[12, 6, 4, 10, 282.9840081081239]
[12, 6, 5, 5, 263.25507091994024]
[12, 6, 5, 6, 259.87054187320933]
[12, 6, 5, 7, 259.080413121088]
[12, 6, 5, 8, 265.38817409086835]
[12, 6, 5, 9, 261.285786725944]
[12, 6, 5, 10, 260.10834306117033]
[8, 7, 3, 5, 223.38979523071748]
[8, 7, 3, 6, 226.57587168754813]
[8, 7, 3, 7, 263.8302631279973]
[8, 7, 3, 8, 283.7934472436694]
[8, 7, 3, 9, 305.5581084765126]
[8, 7, 3, 10, 301.1023912407582]
[8, 7, 4, 5, 278.1157035100396]
[8, 7, 4, 6, 271.4676247266438]
[8, 7, 4, 7, 272.85813599569195]
[8, 7, 4, 8, 277.43548740465314]
[8, 7, 4, 9, 277.1137339218929]
[8, 7, 4, 10, 273.10218614217524]
[8, 7, 5, 5, 244.21480762223854]
[8, 7, 5, 6, 244.94572427886064]
[8, 7, 5, 7, 248.2898205726631]
[8, 7, 5, 8, 243.2312321404807]
[8, 7, 5, 9, 244.88295834953644]
[8, 7, 5, 10, 249.15906592289065]
[9, 7, 3, 5, 232.33776651305774]
[9, 7, 3, 6, 225.37480791969332]
[9, 7, 3, 7, 277.2314767707565]
[9, 7, 3, 8, 284.72411615721705]
[9, 7, 3, 9, 307.8679327095212]
[9, 7, 3, 10, 303.5736123579866]
[9, 7, 4, 5, 276.53604611629817]
[9, 7, 4, 6, 283.0943775541439]
[9, 7, 4, 7, 281.68680223883246]
[9, 7, 4, 8, 280.1078909086748]
[9, 7, 4, 9, 280.2242761721845]
[9, 7, 4, 10, 278.6840779812485]
[9, 7, 5, 5, 246.43565033805618]
[9, 7, 5, 6, 252.9690308934373]
[9, 7, 5, 7, 251.9905127623747]
[9, 7, 5, 8, 250.49132578964594]
[9, 7, 5, 9, 248.8780733835835]
[9, 7, 5, 10, 252.18856792477203]
[10, 7, 3, 5, 230.70393302055024]
[10, 7, 3, 6, 231.10807169043548]
[10, 7, 3, 7, 263.7836291991709]
[10, 7, 3, 8, 293.3225143246566]
[10, 7, 3, 9, 311.9786100890195]
[10, 7, 3, 10, 310.3041464262477]
[10, 7, 4, 5, 285.08698958890886]
[10, 7, 4, 6, 285.4949366866405]
[10, 7, 4, 7, 285.32364683691736]
[10, 7, 4, 8, 283.37332979951134]
[10, 7, 4, 9, 282.9999281338124]
[10, 7, 4, 10, 287.9703620402143]
[10, 7, 5, 5, 262.7211426914844]
[10, 7, 5, 6, 253.35182224409274]
[10, 7, 5, 7, 255.55377795476926]
[10, 7, 5, 8, 252.86206604720377]
[10, 7, 5, 9, 255.67356114393255]
[10, 7, 5, 10, 251.98141311977173]
[11, 7, 3, 5, 231.9821593809576]
[11, 7, 3, 6, 237.1174253739238]
[11, 7, 3, 7, 266.4020158198432]
[11, 7, 3, 8, 294.9055937621994]
[11, 7, 3, 9, 319.31970732695106]
[11, 7, 3, 10, 320.34454963136443]
[11, 7, 4, 5, 286.55164088623536]
[11, 7, 4, 6, 287.22143561325225]
[11, 7, 4, 7, 285.87015242750056]
[11, 7, 4, 8, 285.6655403009862]
[11, 7, 4, 9, 291.50818623949056]
[11, 7, 4, 10, 289.5282681179618]
[11, 7, 5, 5, 263.04902702737894]
[11, 7, 5, 6, 261.2321000384264]
[11, 7, 5, 7, 264.53864668464627]
[11, 7, 5, 8, 264.65430026292034]
[11, 7, 5, 9, 269.18467727587955]
[11, 7, 5, 10, 254.5661874021995]
[12, 7, 3, 5, 232.98633850664604]
[12, 7, 3, 6, 244.04804643809615]
[12, 7, 3, 7, 270.78082718784844]
[12, 7, 3, 8, 292.60705003306606]
[12, 7, 3, 9, 319.010025385961]
[12, 7, 3, 10, 320.55761524860304]
[12, 7, 4, 5, 289.2648070659666]
[12, 7, 4, 6, 296.89773107782435]
[12, 7, 4, 7, 296.2112687246034]
[12, 7, 4, 8, 295.31683647212907]
[12, 7, 4, 9, 295.557692684881]
[12, 7, 4, 10, 291.97603286240644]
[12, 7, 5, 5, 261.27048445991716]
[12, 7, 5, 6, 265.42188823304565]
[12, 7, 5, 7, 259.0971733244043]
[12, 7, 5, 8, 257.2894977159595]
[12, 7, 5, 9, 263.0044344327426]
[12, 7, 5, 10, 261.4424612471968]
[13, 7, 3, 5, 242.81910890873607]
[13, 7, 3, 6, 249.6780828942322]
[13, 7, 3, 7, 276.99892893910356]
[13, 7, 3, 8, 298.5715288059622]
[13, 7, 3, 9, 324.0663484860755]
[13, 7, 3, 10, 324.9008609773728]
[13, 7, 4, 5, 291.3968185984892]
[13, 7, 4, 6, 292.62561668517264]
[13, 7, 4, 7, 293.0813928335653]
[13, 7, 4, 8, 294.5377453261615]
[13, 7, 4, 9, 294.37533380488634]
[13, 7, 4, 10, 295.69260780870474]
[13, 7, 5, 5, 260.1066281179104]
[13, 7, 5, 6, 263.4184115391003]
[13, 7, 5, 7, 260.14607122961814]
[13, 7, 5, 8, 261.71657371674917]
[13, 7, 5, 9, 265.4060682464725]
[13, 7, 5, 10, 269.68476409074935]
